1,26da5b8d,3704bcbd,f251138f,6f001d73
2,3701d923,c7028f29,975af7d1,6e9c22cf
3,60b2cf6e,3cee6c8f,ac900fbe,a1f9b852
4,2fd97820,5dc7c79c,86f7fda9,4e6144fd
5,26da5b8d,10d5af16,98140e39,a1f9b852
6,35fd589d,ed7e2ef6,072af506,f9a10c31
7,975af7d1,0c25976e,019fcb6b,2a0a588d
8,c4c0256f,f9a10c31,2fd97820,3cee6c8f
9,29df9d6e,b5973dec,86f7fda9,ef64ab71
10,88a7def0,2043ec35,a1f9b852,6a91ea8d
11,f3303f78,c7b4e89b,8bf86e35,d37db939
12,36c78082,b67214ff,d37db939,f251138f
13,a37a0872,c7028f29,dbca849d,b9c3b571
14,019fcb6b,6e9c22cf,b9c3b571,b67214ff
15,8a5954ed,18225af3,6f001d73,ac900fbe
16,66158b80,98140e39,2043ec35,79247f86
17,10d5af16,b5973dec,66158b80,924270e3
18,18225af3,026b7588,2043ec35,999da0a5
19,0f5b9f63,d4692a66,6486afbb,e4490a97
20,2fd97820,c4c0256f,02c3aea5,3155c750
21,29df9d6e,8a04b680,2fd97820,072af506
22,14f70cff,26da5b8d,0903f129,140cac47
23,ed7e2ef6,be6f64cd,f3303f78,36ba486a
24,140cac47,7fd5dad2,79247f86,0903f129
25,0c25976e,dbca849d,3701d923,975af7d1
26,b9c3b571,0c25976e,337eedef,a37a0872
27,3704bcbd,88a7def0,a1f9b852,97673b32
28,af5ea1d3,337eedef,c7028f29,be6f64cd
29,6a91ea8d,3704bcbd,6486afbb,3155c750
30,6486afbb,75e5de3e,7fd5dad2,0f5b9f63
31,019fcb6b,975af7d1,a37a0872,b9c3b571
32,3155c750,14f70cff,7fd5dad2,a1f9b852
33,f9a10c31,98140e39,6a91ea8d,8a5954ed
34,140cac47,ac900fbe,60b2cf6e,0f5b9f63
35,b9c3b571,2a0a588d,3778b696,2be0c418
36,3704bcbd,e4490a97,02c3aea5,3cee6c8f
37,e4490a97,c4c0256f,b5973dec,60b2cf6e
38,7fd5dad2,88a7def0,02c3aea5,5dc7c79c
39,35fd589d,f9a10c31,8b4f9b43,7d915672
40,6e9c22cf,975af7d1,019fcb6b,3701d923
41,b9c3b571,019fcb6b,975af7d1,c7028f29
42,bb21da0b,d4692a66,dbca849d,beb42cac
43,0b4cdff7,5728345b,2665b8b0,2a0a588d
44,0f5b9f63,924270e3,0b4cdff7,f9a10c31
45,8a04b680,6486afbb,79247f86,10d5af16
46,14f70cff,b5973dec,f251138f,26da5b8d
47,019fcb6b,be6f64cd,3701d923,dbca849d
48,88a7def0,6ca310a4,86f7fda9,c4c0256f
49,4e6144fd,072af506,97673b32,2043ec35
50,10d5af16,98140e39,140cac47,79247f86
51,75e5de3e,02c3aea5,7d915672,6ca310a4
52,3701d923,2be0c418,0c25976e,c7028f29
53,26da5b8d,f251138f,e4490a97,66158b80
54,60b2cf6e,5728345b,97673b32,35fd589d
55,02c3aea5,4e6144fd,602c1067,ef64ab71
56,8a5954ed,8a04b680,6486afbb,35fd589d
57,3701d923,3778b696,bb21da0b,5dc7c79c
58,18225af3,d37db939,6f001d73,8a04b680
59,026b7588,8bf86e35,c4c0256f,3cee6c8f
60,86f7fda9,b5973dec,29df9d6e,8a5954ed
61,10d5af16,ef64ab71,4e6144fd,66158b80
62,98140e39,0903f129,8b4f9b43,18225af3
63,75e5de3e,ef64ab71,97673b32,0b4cdff7
64,3704bcbd,6ca310a4,7d915672,60b2cf6e
65,999da0a5,924270e3,ee18b323,3778b696
66,7fd5dad2,026b7588,6a91ea8d,072af506
67,ac900fbe,29df9d6e,6a91ea8d,140cac47
68,0b4cdff7,0903f129,602c1067,4e6144fd
69,2a0a588d,2be0c418,a37a0872,6e9c22cf
70,6ca310a4,072af506,f251138f,924270e3
71,6e9c22cf,2be0c418,c7028f29,0c25976e
72,026b7588,97673b32,2043ec35,ac900fbe
73,dbca849d,6e9c22cf,a37a0872,2be0c418
74,86f7fda9,8a5954ed,0f5b9f63,79247f86
75,3155c750,924270e3,18225af3,6f001d73
76,026b7588,29df9d6e,7d915672,0b4cdff7
77,2a0a588d,f3303f78,bb21da0b,36ba486a
78,beb42cac,0903f129,a2ea9179,d4692a66
